Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Guatemala,GTM,"Natural capital, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.TO,23883052739.322,24209323763.968,24439660200.1094,24647278459.2598,24183888169.4738,23526140900.0164,23048744571.54,21907724789.3343,21437408980.8273,21043439061.1319,22209231446.0384,23260293732.5762,25044497637.796,27826044587.8935,30339266814.6601,33430484804.9648,37977816519.4718,39000120975.3758,40160126331.6444,39671644521.0224,38634338327.0716,36874273806.6758,37039188302.8917,32548034181.6989
Guatemala,GTM,"Natural capital, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.TO,5440249277.31492,5161057897.03188,5021775410.02297,4756782805.52668,4439789086.8304,4249659594.07787,4218060145.39962,4136080257.28272,4178222906.61081,4248826862.62806,4316476789.78158,4342361153.5981,4626757281.25976,4979975801.3906,5385576622.61542,5952694999.50459,6548266244.34988,6904765579.52484,7144522682.47598,7343296229.96954,7196359605.06827,6887199950.75749,6821577316.30227,6633635576.52359
Guatemala,GTM,"Natural capital, fisheries (constant 2018 US$)",NW.NCA.FISH.TO,1486954265.43007,1515133241.83133,874191183.962061,1489252795.11725,1300111636.0528,1280165350.17558,1344344740.69908,1222530590.11369,1461189738.01772,1180604364.6183,957473889.285569,435240594.199927,3096407.63632631,0,0,102278494.258515,0,0,302501180.324127,0,67909574.7956466,69219223.0246634,75361344.8590958,60794555.9139212
Guatemala,GTM,"Natural capital, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.TO,8842916756.62226,8758637733.46595,8702221947.58722,8842023995.01006,8854462481.73798,8989284029.52343,9085576240.47834,9022026729.64578,8902886915.883,8762405376.82823,8789825252.02688,8834152574.45323,9221508021.84121,9368704614.68082,8998263952.8341,9141094738.91268,9004961090.29654,8924782962.80843,8849700918.45367,8799994285.065,8719074515.91711,8695279922.41257,8580595302.33325,8369331284.1049
Guatemala,GTM,"Natural capital, forests: timber (constant 2018 US$)",NW.NCA.FTIM.TO,6787290131.7025,6317968581.26299,6137988485.36897,5914224157.71854,5536683914.5667,4984711791.67173,4990290287.98001,4654814755.43704,4548672569.68368,4403154245.79632,4212618963.64744,4223932048.07816,4321232795.06066,4368048466.75134,4384915940.82989,5522788791.52131,5854932379.54323,6177857444.92525,6650511998.80965,7574842967.15521,7119698584.36045,7421216384.37846,7429198162.70808,6751242698.9471
Guatemala,GTM,"Natural capital, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.TO,1617734980.41241,2090245667.26286,1869896581.87445,1581587972.74222,2970411446.57946,4080267619.27836,4561096903.77708,5092137857.6824,6127279280.1105,7190545459.47286,7820799136.03873,8785390319.91179,4213264713.11226,4693458814.61265,4540309679.46313,4492423568.6564,4504982014.86625,4342192064.24781,3966734390.25864,3983642297.06436,3570401107.14426,2954773847.08719,2217601438.56202,1855802489.58094
Guatemala,GTM,"Natural capital, mangroves (constant 2018 US$)",NW.NCA.MANG.TO,27430699.83742,28101426.164971,28772152.4925221,29442878.8200731,30113629.6526232,30784355.9801742,31455082.3077252,32125808.6352763,32796559.4678263,33467285.7953774,34138012.1229284,34808738.4504795,35479464.7780305,36150215.6105806,36820941.9381316,37491668.2656827,41910311.6648531,46328979.5690226,50747622.968193,55166290.8723625,59584934.271533,64003577.6707034,68422245.5748729,72840888.9740433
Guatemala,GTM,"Natural capital, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.TO,1618514301.72075,2091149213.78018,1876374751.56788,1586279598.09358,3032904047.29421,4185214398.2764,4679612544.16977,5124382497.6076,6363280228.25824,7197501898.88504,8037264056.45626,9529269285.75369,5634642829.64613,6787446993.60092,6462173961.52252,7113325243.51965,8006540516.79807,8228369097.74527,8017018523.21553,9724463216.24874,8877096995.6725,7438311442.94646,6257006589.75457,5946286213.63414
Guatemala,GTM,"Natural capital, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,GTM,"Natural capital, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.TO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14765188.8642722
Guatemala,GTM,"Natural capital, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.TO,779321.308346419,903546.517314934,6478169.69343378,4691625.35135729,62492600.7147528,104946778.998036,118515640.392683,32244639.9251946,236000948.147738,6956439.41217826,216464920.417529,743878965.841894,1421378116.53387,2093988178.98827,1921864282.05938,2620901674.86325,3501558501.93182,3886177033.49746,4050284132.9569,5740820919.18438,5306695888.52825,4483537595.85927,4039405151.19255,4090483724.05319
